Concurrent Viewers,Likes,Dislikes,Total Viewers,Subscriptions Driven,Shares,Timestamp,Quality,,,,Device,,,,,Anticpation/Popularity,Category,,,Region,,,,SourceRegion
a,a,a,a,a,a,a,240p,360,720,1080p,Laptops/Desktop,Android,iPhone,Xbox,Playstation,,News,Sports,Entertainment,Tokyo,Australia,London,America,g
3730,521,66,10/6/2014 14:43,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3725,521,66,10/6/2014 14:43,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3726,522,66,10/6/2014 14:44,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3726,522,66,10/6/2014 14:44,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3717,522,66,10/6/2014 14:45,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3729,522,66,10/6/2014 14:45,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3718,522,66,10/6/2014 14:46,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3708,522,66,10/6/2014 14:46,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3712,522,66,10/6/2014 14:47,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3708,522,66,10/6/2014 14:47,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3722,522,67,10/6/2014 14:48,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3704,522,67,10/6/2014 14:48,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3701,522,67,10/6/2014 14:49,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3699,522,67,10/6/2014 14:49,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3685,522,67,10/6/2014 14:50,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3668,522,67,10/6/2014 14:50,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3666,522,67,10/6/2014 14:51,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3676,522,67,10/6/2014 14:51,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3662,522,67,10/6/2014 14:52,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3666,523,67,10/6/2014 14:52,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3645,523,67,10/6/2014 14:53,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3660,523,67,10/6/2014 14:53,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3646,523,67,10/6/2014 14:54,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3630,523,67,10/6/2014 14:54,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3634,523,67,10/6/2014 14:55,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,1
3636,523,67,10/6/2014 14:55,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3643,523,67,10/6/2014 14:56,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3635,523,67,10/6/2014 14:56,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3639,523,67,10/6/2014 14:57,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3636,523,67,10/6/2014 14:57,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3638,523,67,10/6/2014 14:58,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3626,523,67,10/6/2014 14:58,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3615,523,67,10/6/2014 14:59,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3610,523,67,10/6/2014 14:59,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3589,524,67,10/6/2014 15:00,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3595,524,67,10/6/2014 15:00,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3599,524,67,10/6/2014 15:01,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3596,524,67,10/6/2014 15:01,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3602,524,67,10/6/2014 15:02,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3586,524,67,10/6/2014 15:02,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3587,524,67,10/6/2014 15:03,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
3588,524,67,10/6/2014 15:03,a,a,a,1,1,1,1,1,0,0,0,0,0.1,1,0,0,1,1,1,1,0
